sid,dt,p1,p2
2446,2023-09-24 18:00:00,4.924286,1.1928571
2446,2023-09-24 15:00:00,4.723,0.886
2446,2023-10-06 15:00:00,4.7262497,0.8625
2446,2023-10-08 02:00:00,4.81,0.88454545
2446,2023-09-30 13:00:00,4.653333,0.86866665
2446,2023-10-08 04:00:00,4.8625,0.91249996
2446,2023-09-30 06:00:00,4.7766666,0.94777775
2446,2023-10-01 17:00:00,4.791667,0.95
2446,2023-10-08 19:00:00,4.78,0.90999997
2446,2023-10-10 00:00:00,4.8083334,0.9
2446,2023-10-07 15:00:00,4.703333,0.8666667
2446,2023-10-01 20:00:00,4.95,1.2416667
2446,2023-10-01 21:00:00,4.80875,0.9
2446,2023-09-23 01:00:00,4.8344445,0.9222222
2446,2023-09-29 18:00:00,4.9706664,1.0066667
2446,2023-09-29 20:00:00,4.96,1.03
2446,2023-09-25 05:00:00,4.95,1.0383333
2446,2023-09-19 04:00:00,4.72375,0.885
2446,2023-10-01 12:00:00,4.6485715,0.93714285
2446,2023-10-08 13:00:00,4.667,0.853
2446,2023-10-07 22:00:00,4.745,0.8666667
2446,2023-09-30 20:00:00,4.811667,0.89666665
2446,2023-09-24 05:00:00,4.885,0.9
2446,2023-09-29 21:00:00,4.7545457,0.89181817
2446,2023-10-08 05:00:00,4.84,0.9185714
2446,2023-10-01 10:00:00,4.721667,0.96166664
2446,2023-09-18 13:00:00,4.6825,0.8325
2446,2023-10-09 19:00:00,4.755,0.9216666
2446,2023-10-08 09:00:00,4.7575,0.91249996
2446,2023-10-08 14:00:00,4.705,0.89
2446,2023-09-29 16:00:00,5.0992856,1.1235714
2446,2023-09-24 13:00:00,4.72,0.875
2446,2023-10-01 22:00:00,4.8450003,0.9125
2446,2023-10-08 20:00:00,4.80625,0.91625
2446,2023-09-30 03:00:00,4.8007693,0.9230769
2446,2023-09-24 12:00:00,4.712222,0.91444445
2446,2023-09-26 01:00:00,5.01,1.1107692
2446,2023-10-01 13:00:00,4.6,0.88
2446,2023-09-24 01:00:00,4.864286,0.89285713
2446,2023-10-06 20:00:00,4.850909,0.91090906
2446,2023-10-07 01:00:00,4.91625,0.94124997
2446,2023-09-24 06:00:00,4.839231,0.8830769
2446,2023-09-23 22:00:00,4.8333335,0.9083333
2446,2023-10-01 03:00:00,4.8614287,0.9142857
2446,2023-10-07 19:00:00,4.751,0.917
2446,2023-10-08 07:00:00,4.8483334,0.8883333
2446,2023-10-08 08:00:00,4.8133335,0.8883333
2446,2023-10-07 10:00:00,4.8036366,0.9745455
2446,2023-10-01 19:00:00,4.792857,0.9285714
2446,2023-10-08 12:00:00,6.4779997,1.294
2446,2023-10-07 03:00:00,4.88375,0.875
2446,2023-09-24 20:00:00,4.86,0.91249996
2446,2023-09-19 01:00:00,4.73,0.916
2446,2023-09-24 22:00:00,4.9,0.93333334
2446,2023-10-01 01:00:00,4.9,0.97555554
2446,2023-09-19 05:00:00,4.735833,0.9058333
2446,2023-09-24 11:00:00,4.7114286,0.9185714
2446,2023-09-22 18:00:00,4.8337502,0.90375
2446,2023-10-02 22:00:00,4.7914286,0.98142856
2446,2023-10-08 17:00:00,4.7716665,0.8883333
2446,2023-10-01 00:00:00,4.94,0.9866667
2446,2023-09-29 17:00:00,5.337,1.172
2446,2023-09-29 22:00:00,4.9083333,0.9772222
2446,2023-09-24 17:00:00,4.804167,0.9083333
2446,2023-09-25 22:00:00,4.8922224,0.9266667
2446,2023-10-01 08:00:00,4.8514285,1.0
2446,2023-09-18 15:00:00,4.7023077,0.9023077
2446,2023-09-26 00:00:00,4.89375,1.02125
2446,2023-09-18 20:00:00,4.7860003,0.91999996
2446,2023-10-08 10:00:00,4.7153845,0.8384615
2446,2023-09-24 10:00:00,4.6879997,0.94
2446,2023-10-01 05:00:00,4.8275003,0.9
2446,2023-09-30 08:00:00,4.7388887,0.9
2446,2023-10-01 14:00:00,4.6075,0.9
2446,2023-09-29 23:00:00,4.753077,0.9023077
2446,2023-10-08 15:00:00,4.685,0.85249996
2446,2023-09-24 08:00:00,4.7941666,0.89416665
2446,2023-09-26 02:00:00,4.8283334,0.945
2446,2023-09-26 03:00:00,4.902,0.963
2446,2023-09-25 19:00:00,4.791667,0.90416664
2446,2023-10-07 05:00:00,4.8991666,0.9625
2446,2023-09-24 16:00:00,4.76875,0.91249996
2446,2023-10-08 03:00:00,4.901,1.016
2446,2023-09-24 07:00:00,4.8250003,0.91499996
2446,2023-10-07 00:00:00,4.875,1.025
2446,2023-10-06 14:00:00,4.7,0.852
2446,2023-10-01 16:00:00,4.71,0.88
2446,2023-10-06 17:00:00,4.8558335,1.0875
2446,2023-09-18 23:00:00,4.9428573,0.97571427
2446,2023-09-30 11:00:00,4.730833,0.89
2446,2023-10-06 19:00:00,4.8722224,0.9077778
2446,2023-09-24 03:00:00,4.869,0.883
2446,2023-10-08 21:00:00,4.798333,0.9083333
2446,2023-09-23 23:00:00,4.895,0.92499995
2446,2023-10-01 11:00:00,4.6914287,0.98571426
2446,2023-10-01 18:00:00,4.795,0.95624995
2446,2023-10-06 22:00:00,4.85,0.89769226
2446,2023-10-01 15:00:00,4.6766667,0.8666667
2446,2023-09-30 01:00:00,4.79,0.9090909
2446,2023-09-24 00:00:00,4.8516665,0.93833333
2446,2023-09-18 18:00:00,4.7124996,0.8725
2446,2023-10-08 16:00:00,4.7116666,0.8666667
2446,2023-10-01 06:00:00,4.88,0.90666664
2446,2023-09-22 20:00:00,4.7566667,0.9
2446,2023-09-25 20:00:00,4.8283334,0.9025
2446,2023-10-08 00:00:00,4.7725,0.935
2446,2023-09-24 04:00:00,4.931818,1.0009091
2446,2023-09-19 03:00:00,4.71,0.93833333
2446,2023-09-23 10:00:00,4.8444448,0.96444446
2446,2023-09-30 17:00:00,4.7633333,0.87888885
2446,2023-09-24 23:00:00,5.981111,1.9322222
2446,2023-10-06 21:00:00,4.8825,0.925
2446,2023-10-07 11:00:00,4.863333,1.0733333
2446,2023-09-22 17:00:00,4.808889,0.91444445
2446,2023-10-05 14:00:00,4.757,0.90999997
2446,2023-09-30 09:00:00,4.7533336,0.9108333
2446,2023-09-23 00:00:00,4.8033333,0.9033333
2446,2023-09-21 17:00:00,4.6845455,0.8909091
2446,2023-10-05 11:00:00,4.765,0.9
2446,2023-10-05 16:00:00,4.795,0.9216666
2446,2023-09-22 21:00:00,4.744,0.91499996
2446,2023-09-24 19:00:00,4.8925,1.025
2446,2023-09-21 22:00:00,4.78125,0.94624996
2446,2023-09-23 06:00:00,4.9233336,1.3216667
2446,2023-09-30 04:00:00,4.802,0.91999996
2446,2023-09-23 04:00:00,4.85,0.9133333
2446,2023-09-30 12:00:00,4.71375,0.879375
2446,2023-10-08 18:00:00,4.7716665,0.84333336
2446,2023-10-07 17:00:00,4.7588887,0.9111111
2446,2023-09-23 08:00:00,5.346667,1.0833333
2446,2023-09-28 14:00:00,4.558889,0.86
2446,2023-10-05 10:00:00,4.7725,0.9075
2446,2023-09-23 17:00:00,4.8315387,0.92615384
2446,2023-10-06 16:00:00,4.793,0.96099997
2446,2023-10-06 09:00:00,4.816,1.026
2446,2023-09-22 19:00:00,4.8216667,0.94166666
2446,2023-09-30 16:00:00,4.8163633,1.1636363
2446,2023-10-06 18:00:00,4.8418183,0.92545456
2446,2023-09-21 19:00:00,4.881,0.951
2446,2023-09-23 09:00:00,4.8424997,0.9425
2446,2023-09-22 23:00:00,4.74125,0.90375
2446,2023-10-06 02:00:00,4.8758335,0.89166665
2446,2023-09-30 02:00:00,4.842,0.923
2446,2023-09-23 02:00:00,4.86375,0.93625
2446,2023-09-29 19:00:00,4.817333,1.15
2446,2023-10-07 16:00:00,4.7149997,0.9
2446,2023-09-24 09:00:00,4.807,0.923
2446,2023-09-23 03:00:00,4.81625,0.8875
2446,2023-09-30 10:00:00,4.7166667,0.8888889
2446,2023-09-30 15:00:00,4.7145452,0.8890909
2446,2023-10-07 13:00:00,4.722857,0.9
2446,2023-10-06 07:00:00,4.84,0.88076925
2446,2023-09-22 00:00:00,4.7975,0.975
2446,2023-10-07 09:00:00,4.9,1.1012499
2446,2023-09-23 07:00:00,4.7766666,0.9
2446,2023-09-23 19:00:00,4.831667,0.8908333
2446,2023-10-07 04:00:00,4.876,0.92499995
2446,2023-10-05 18:00:00,4.87,0.91999996
2446,2023-09-23 15:00:00,4.7275,0.8983333
2446,2023-09-30 00:00:00,4.736923,0.9076923
2446,2023-10-07 14:00:00,4.8214283,1.0885714
2446,2023-10-06 04:00:00,4.8963637,0.9990909
2446,2023-10-05 17:00:00,4.84375,0.9
2446,2023-09-28 16:00:00,4.6855555,0.8811111
2446,2023-10-07 07:00:00,6.1175003,1.10625
2446,2023-10-11 12:00:00,4.6125,0.97875
2446,2023-09-23 12:00:00,4.78625,0.9225
2446,2023-09-22 22:00:00,4.76375,0.89125
2446,2023-09-30 18:00:00,4.7616663,0.995
2446,2023-10-07 12:00:00,4.748182,0.9163636
2446,2023-10-05 21:00:00,4.879,0.94
2446,2023-09-23 16:00:00,4.756923,0.89461535
2446,2023-10-07 06:00:00,4.9425,1.125
2446,2023-09-23 11:00:00,4.7646155,0.9215385
2446,2023-09-30 05:00:00,4.799,0.945
2446,2023-09-24 21:00:00,4.863333,0.8833333
2446,2023-09-30 07:00:00,4.7566667,0.89666665
2446,2023-10-11 07:00:00,4.8385715,0.94714284
2446,2023-09-28 12:00:00,4.5636363,0.9
2446,2023-10-07 02:00:00,4.85,0.925
2446,2023-09-28 21:00:00,4.7818184,0.8618182
2446,2023-10-05 19:00:00,4.8258333,0.9033333
2446,2023-09-30 14:00:00,4.7,0.885
2446,2023-10-05 23:00:00,4.82375,0.9
2446,2023-09-23 05:00:00,4.8314285,0.8842857
2446,2023-10-06 23:00:00,4.8450003,0.91625
2446,2023-09-24 14:00:00,4.734286,0.8757143
2446,2023-09-21 14:00:00,4.688889,1.1188889
2446,2023-10-05 12:00:00,4.834615,1.0653846
2446,2023-10-05 13:00:00,4.769167,0.8983333
2446,2023-10-11 09:00:00,4.862222,1.1611111
2446,2023-10-07 08:00:00,4.9025,1.0141667
2446,2023-09-23 14:00:00,4.7372727,0.89363635
2446,2023-10-06 00:00:00,4.876,0.893
2446,2023-10-11 05:00:00,4.86125,0.90999997
2446,2023-09-27 11:00:00,4.59625,0.87874997
2446,2023-09-20 16:00:00,4.611111,0.8744444
2446,2023-10-04 13:00:00,4.7146153,0.8523077
2446,2023-10-04 21:00:00,4.933636,0.9754545
2446,2023-09-28 22:00:00,4.78,0.87636364
2446,2023-09-22 03:00:00,4.73375,0.875
2446,2023-09-28 20:00:00,4.7720003,0.87299997
2446,2023-09-29 12:00:00,4.8744445,1.2
2446,2023-09-21 02:00:00,4.7875004,0.9
2446,2023-10-11 16:00:00,4.68875,0.8725
2446,2023-09-28 01:00:00,5.44,1.525
2446,2023-09-27 16:00:00,4.672222,0.83555555
2446,2023-09-29 13:00:00,4.6800003,1.06
2446,2023-09-28 23:00:00,4.761429,0.9142857
2446,2023-09-29 01:00:00,4.8354545,0.8981818
2446,2023-09-27 15:00:00,4.5963635,0.8481818
2446,2023-09-23 20:00:00,4.831111,0.9222222
2446,2023-10-05 15:00:00,4.7644444,0.89444447
2446,2023-10-11 13:00:00,4.829,1.02
2446,2023-09-20 11:00:00,4.6283336,0.96166664
2446,2023-09-27 08:00:00,4.7475,0.885
2446,2023-10-04 15:00:00,4.754,0.88699996
2446,2023-09-29 08:00:00,4.947143,1.1157143
2446,2023-09-22 09:00:00,4.7666664,0.98333335
2446,2023-10-11 11:00:00,4.6175,0.92499995
2446,2023-10-05 01:00:00,4.8854547,0.9090909
2446,2023-09-22 01:00:00,4.7916665,0.9
2446,2023-10-06 05:00:00,4.8755555,0.85
2446,2023-09-20 21:00:00,4.937143,0.9785714
2446,2023-10-05 20:00:00,4.8883333,0.945
2446,2023-10-04 16:00:00,4.78,0.9
2446,2023-10-06 13:00:00,4.6825,0.90625
